file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,141,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,142,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,143,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,10
style.css,144,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,12
style.css,145,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,18
style.css,146,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,22
style.css,147,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,8
style.css,148,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,12
style.css,149,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,17
style.css,150,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,10
style.css,151,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,15
style.css,152,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,13
style.css,153,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,154,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,155,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,3
style.css,156,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,4
style.css,157,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,2,16
style.css,158,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,2,14
style.css,159,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,0
style.css,160,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,161,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,17
style.css,162,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,2,16
style.css,163,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,3,11
style.css,164,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,2,0
style.css,165,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,0
style.css,166,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,167,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,168,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,9
style.css,169,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,35
style.css,170,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,171,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,10
style.css,172,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,2,17
style.css,173,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,0
style.css,174,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,175,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,10
style.css,176,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,2,17
style.css,177,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,0
style.css,178,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,179,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,180,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,17
style.css,181,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,182,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,13
style.css,183,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,17
style.css,184,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,8
style.css,185,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,10
style.css,186,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,16
style.css,187,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,188,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,20
style.css,189,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,17
style.css,190,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,19
style.css,191,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,22
style.css,192,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,13
style.css,193,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,29
style.css,194,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,195,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,196,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,197,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,17
style.css,198,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,14
style.css,199,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,15
style.css,200,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,17
style.css,201,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,202,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,203,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,17
style.css,204,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,12
style.css,205,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,36
style.css,206,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,10
style.css,207,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,20
style.css,208,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,15
style.css,209,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,210,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,211,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,17
style.css,212,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,10
style.css,213,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,16
